Guttenberg Title,Guttenberg Author,Guttenberg URL
The Declaration of Independence of the United States of America,Thomas Jefferson,https://www.gutenberg.org/ebooks/1
The United States Bill of Rights,United States,https://www.gutenberg.org/ebooks/2
John F. Kennedy's Inaugural Address,John F. Kennedy,https://www.gutenberg.org/ebooks/3
Lincoln's Gettysburg Address,Abraham Lincoln,https://www.gutenberg.org/ebooks/4
The United States Constitution,United States,https://www.gutenberg.org/ebooks/5
Give Me Liberty or Give Me Death,Patrick Henry,https://www.gutenberg.org/ebooks/6
The Mayflower Compact,The Mayflower Compact,https://www.gutenberg.org/ebooks/7
Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,https://www.gutenberg.org/ebooks/8
Abraham Lincoln's First Inaugural Address,Abraham Lincoln,https://www.gutenberg.org/ebooks/9
The King James Version of the Bible,The King James Version of the Bible,https://www.gutenberg.org/ebooks/10
